,country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,co2_scaled,coal_scaled,land_use_scaled,cement_scaled,consumption_scaled,gas_scaled,oil_scaled,other_scaled
0,World,1960,,3019233536.0,13245800000000.0,157.493,0.052,9387.668,531.448,6.001,15955.755,-4.718,-0.03,5.285,1.205,,3.109,0.709,,5152.558,1.707,,,,2022.308,307215.406,746933.75,241987.125,985.167,10778.442,444280.906,51226.781,215.577,,,89.14,0.03,834.527,0.276,,,6568.086,2.175,,,,,3126.444,1.036,0.009,27.507,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.1,0.1221059975137137,0.9304463490952418,0.1,,0.1,0.1,0.1
1,World,1961,,3068370688.0,,164.229,0.054,9418.46,30.792,0.328,15524.516,-431.239,-2.703,5.06,,,3.07,,,4943.284,1.611,,,,2186.537,316633.844,762458.25,246930.406,1071.386,11660.45,450386.938,54540.281,244.795,,,86.218,0.028,882.007,0.287,,,6106.056,1.99,,,,,3313.503,1.08,0.01,29.219,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.10111017434842513,0.10143232140585026,0.7845030257582715,0.10444591409538256,,0.10669930437572656,0.12029013552030333,0.10613329894100283
2,World,1962,,3126686720.0,,176.443,0.056,9751.06,332.599,3.531,15643.748,119.233,0.768,5.003,,,3.119,,,4928.785,1.576,,,,2362.98,326384.906,778102.062,251859.188,1157.317,12628.132,456279.625,58102.223,275.072,,,85.931,0.027,967.683,0.309,,,5892.689,1.885,,,,,3561.94,1.139,0.01,30.277,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.11310173021638449,0.1,0.7171059106998571,0.11250743350764539,,0.11878796490004731,0.14723789210115534,0.10992362036599172
3,World,1963,,3195779328.0,,186.06,0.058,10271.655,520.595,5.339,15924.23,280.482,1.793,4.983,,,3.214,,,5109.542,1.599,,,,2549.04,336656.562,794026.25,256968.734,1247.823,13674.955,461932.188,61909.191,306.824,,,90.506,0.028,1046.822,0.328,,,5652.575,1.769,,,,,3806.973,1.191,0.01,31.751,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.13187125525270532,0.11785655013154563,0.6412601103411503,0.11885487350991586,,0.1299542717448372,0.17381641960823319,0.11520427611309345
4,World,1964,,3267212288.0,,206.22,0.063,10829.612,557.957,5.432,16305.338,381.108,2.393,4.991,,,3.315,,,5215.19,1.596,,,,2755.261,347486.188,810331.625,262183.906,1360.615,14827.814,467407.938,66016.766,341.804,,,112.792,0.035,1152.86,0.353,,,5475.726,1.676,,,,,4107.569,1.257,0.011,34.98,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.1519878293279277,0.12829326244862055,0.585398086687232,0.13216093469799664,,0.14491595745236233,0.20642181991969163,0.12677227978160868
5,World,1965,,3337112064.0,,216.49,0.065,11317.596,487.984,4.506,16384.297,78.959,0.484,4.91,,0.378,3.391,,0.261,5293.218,1.586,,,,2971.751,358803.781,826715.875,267477.125,1491.057,16058.352,472474.656,70429.141,376.336,12975.564,,130.443,0.039,1230.538,0.369,,,5066.701,1.518,,,,,4412.375,1.322,0.01,34.532,43300.914,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.16958159781460924,0.13600146126617252,0.4561976715022784,0.1389393696385517,,0.15587612100117632,0.2394838754604652,0.12516730435779486
6,World,1966,,3406416896.0,,233.053,0.068,11866.934,549.337,4.854,16714.65,330.353,2.016,4.907,,0.366,3.484,,0.26,5351.301,1.571,,,,3204.804,370670.688,843430.562,272828.438,1635.624,17398.191,477322.344,75191.094,412.557,13389.972,,144.566,0.042,1339.839,0.393,,,4847.716,1.423,,,,,4761.953,1.398,0.011,36.221,45611.824,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.18938742258127506,0.1417393414107344,0.387025975593038,0.1498713285402472,,0.1712982075127873,0.2774023129316192,0.1312182050069501
7,World,1967,,3475448064.0,,239.908,0.069,12244.029,377.096,3.178,17168.934,454.284,2.718,4.94,,0.363,3.523,,0.259,5266.113,1.515,,,,3444.712,382914.719,860599.5,278094.531,1826.406,18831.137,482247.25,80268.172,449.756,13618.113,,190.783,0.055,1432.946,0.412,,,4924.904,1.417,,,,,5077.08,1.461,0.011,37.2,47329.047,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.20298320057294114,0.13332382338041687,0.41140766778128135,0.1543957853579205,,0.18443536278891984,0.3115838788338565,0.1347255062121147
8,World,1968,,3546810880.0,,255.398,0.072,12910.892,666.863,5.446,17888.312,719.379,4.19,5.043,,0.356,3.64,,0.257,5323.236,1.501,,,,3700.111,395825.656,878487.812,283417.781,2030.207,20390.709,487224.656,85798.461,488.35,14151.465,,203.8,0.057,1559.571,0.44,,,4977.422,1.403,,,,,5530.292,1.559,0.011,38.593,50192.57,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.2270262700881996,0.1389668674294123,0.4279967452329855,0.16461953971324644,,0.20230182059381402,0.36074341085010664,0.1397159766705358
9,World,1969,,3620655360.0,,270.791,0.075,13767.398,856.506,6.634,18433.381,545.067,3.047,5.091,,0.344,3.802,,0.257,5521.839,1.525,,,,3970.901,409593.031,896921.188,288939.625,2274.241,22099.227,491890.656,91778.977,530.057,14792.827,,244.035,0.067,1708.518,0.472,,,4665.982,1.289,,,,,5980.509,1.652,0.012,41.708,53559.73,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.2579067257413637,0.1585863810624962,0.3296209068240815,0.17477927184956232,,0.22331785447863595,0.40957807768540666,0.1508755714142413
10,World,1970,,3695390208.0,21814500000000.0,288.411,0.078,14898.716,1131.317,8.217,19497.402,1064.022,5.772,5.276,0.894,0.342,4.032,0.683,0.262,5696.271,1.541,,,,4259.312,424491.75,916418.562,294635.906,2551.986,23889.906,496489.344,98580.234,574.407,15415.745,2.611,277.745,0.075,1790.679,0.485,,,4598.686,1.244,,,,,6801.259,1.84,0.012,44.35,56967.195,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.2986952494979122,0.17581809962689898,0.30836384150952445,0.18640887493160513,,0.23491055765500643,0.4986041535667539,0.16034062737342908
11,World,1971,,3770163200.0,,303.345,0.08,15505.496,606.78,4.073,20091.359,593.957,3.046,5.329,,0.339,4.113,,0.262,5699.823,1.512,,,,4562.657,439997.219,936509.875,300335.719,2873.414,25823.219,501075.219,105783.156,619.069,15726.903,,321.427,0.085,1933.313,0.513,,,4585.862,1.216,,,,,7202.926,1.911,0.012,44.661,59292.992,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.3205720873498676,0.17616899318049448,0.3043130716926874,0.19626565656765665,,0.2550358436770659,0.5421726419262217,0.16145479558058554
12,World,1972,,3844800768.0,,321.547,0.084,16228.729,723.234,4.664,20819.232,727.874,3.623,5.415,,0.333,4.221,,0.26,5693.585,1.481,,,,4884.205,456225.969,957329.188,306029.312,3220.284,27875.258,505665.719,113549.773,667.141,16247.762,,346.87,0.09,2052.041,0.534,,,4590.503,1.194,,,,,7766.614,2.02,0.013,48.072,62469.406,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.3466475200770228,0.17555275613451238,0.30577904352050556,0.20827939296376013,,0.2717880553434784,0.6033154145870865,0.17367482051502514
13,World,1973,,3920251392.0,,340.512,0.087,17086.193,857.464,5.284,21533.801,714.568,3.432,5.493,,0.326,4.358,,0.258,5862.085,1.495,,,,5224.716,473312.156,978862.938,311891.406,3622.425,30079.148,510113.312,121775.711,718.768,16867.516,,402.142,0.103,2203.89,0.562,,,4447.607,1.135,,,,,8225.938,2.098,0.013,51.627,66124.898,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.3775625154491331,0.19219846665839485,0.2606418941328908,0.22079672681455137,,0.2932135538723263,0.6531379102046607,0.18641073040711922
14,World,1974,,3995516928.0,,341.033,0.085,17017.477,-68.718,-0.402,21338.432,-195.369,-0.907,5.341,,0.321,4.259,,0.256,5865.81,1.468,,,,5565.749,490329.625,1000201.375,317757.188,4013.772,32338.146,514434.281,129883.609,771.156,16650.602,,391.347,0.098,2258.999,0.565,,,4320.956,1.081,,,,,8107.899,2.029,0.013,52.388,66527.758,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.3750850297214642,0.19256645046671217,0.22063611995383192,0.22114059873315212,,0.3009892902843296,0.6403343171849124,0.1891370391069458
15,World,1975,,4069437184.0,,339.117,0.083,17054.627,37.151,0.218,21424.68,86.247,0.404,5.265,,0.32,4.191,,0.255,6037.091,1.484,,,,5904.866,507384.25,1021626.062,323794.312,4350.458,34593.691,518804.312,137922.625,818.325,16428.184,,336.685,0.083,2255.543,0.554,,,4370.053,1.074,,,,,8039.023,1.975,0.012,47.169,66853.461,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.3764244353152546,0.2094868893049384,0.2361445920138176,0.2198759949019833,,0.30050165768276027,0.6328633942456451,0.1704397919264004
16,World,1976,,4142505728.0,,354.146,0.085,17991.887,937.26,5.496,22296.719,872.04,4.07,5.382,,0.317,4.343,,0.255,6263.989,1.512,,,,6259.012,525376.188,1043922.812,330058.281,4745.848,36980.539,523109.156,146464.125,868.342,16999.998,,395.391,0.095,2386.85,0.576,,,4304.833,1.039,,,,,8541.493,2.062,0.012,50.017,70422.586,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.4102163945840567,0.23190159806724034,0.21554328138888584,0.22979547871129213,,0.31902873349707217,0.6873659009140589,0.1806428499777883
17,World,1977,,4215772416.0,,370.868,0.088,18502.846,510.96,2.84,22910.027,613.308,2.751,5.434,,0.314,4.389,,0.253,6417.698,1.522,,,,6629.88,543879.0,1066832.875,336475.969,5127.291,39421.625,527516.312,155306.188,918.034,17318.629,,381.443,0.09,2441.085,0.579,,,4407.181,1.045,,,,,8842.06,2.097,0.012,49.692,73011.398,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.4286385034076786,0.24708614120620453,0.24787236663636372,0.24083238125033413,,0.32668115078472026,0.7199681556194245,0.17947852628863764
18,World,1978,,4289657600.0,,394.692,0.092,19077.193,574.347,3.104,23300.564,390.537,1.705,5.432,,0.307,4.447,,0.251,6531.792,1.523,,,,7024.572,562956.188,1090133.375,343007.75,5517.44,41971.969,531739.688,164465.328,969.109,17709.385,,390.15,0.091,2550.346,0.595,,,4223.371,0.985,,,,,9159.137,2.135,0.012,51.076,75967.195,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.4493460023195692,0.25835721358906416,0.18981154317778226,0.25655676625751844,,0.34209759340047974,0.7543612364141002,0.18443675393720532
19,World,1979,,4365582848.0,,399.877,0.092,19618.463,541.27,2.837,23677.932,377.367,1.62,5.424,,0.301,4.494,,0.25,6840.287,1.567,,,,7424.449,582574.688,1113811.375,349848.031,5877.571,44660.969,535799.188,173742.031,1021.573,17999.004,,360.13,0.082,2688.997,0.616,,,4059.468,0.93,,,,,9276.707,2.125,0.012,52.464,78576.141,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,0.4688609435241704,0.28883269411170587,0.13803882598431116,0.25997898487161564,,0.3616608884931264,0.7671139573904876,0.18940931172348566
