,country,year,co2_per_capita,share_global_co2,share_global_cement_co2,consumption_co2_per_capita
0,Argentina,1850,,,,
1,Argentina,1851,,,,
2,Argentina,1852,,,,
3,Argentina,1853,,,,
4,Argentina,1854,,,,
5,Argentina,1855,,,,
6,Argentina,1856,,,,
7,Argentina,1857,,,,
8,Argentina,1858,,,,
9,Argentina,1859,,,,
10,Argentina,1860,,,,
11,Argentina,1861,,,,
12,Argentina,1862,,,,
13,Argentina,1863,,,,
14,Argentina,1864,,,,
15,Argentina,1865,,,,
16,Argentina,1866,,,,
17,Argentina,1867,,,,
18,Argentina,1868,,,,
19,Argentina,1869,,,,
20,Argentina,1870,,,,
21,Argentina,1871,,,,
22,Argentina,1872,,,,
23,Argentina,1873,,,,
24,Argentina,1874,,,,
25,Argentina,1875,,,,
26,Argentina,1876,,,,
27,Argentina,1877,,,,
28,Argentina,1878,,,,
29,Argentina,1879,,,,
30,Argentina,1880,,,,
31,Argentina,1881,,,,
32,Argentina,1882,,,,
33,Argentina,1883,,,,
34,Argentina,1884,,,,
35,Argentina,1885,,,,
36,Argentina,1886,,,,
37,Argentina,1887,0.354,0.101,,
38,Argentina,1888,0.282,0.075,,
39,Argentina,1889,0.538,0.147,,
40,Argentina,1890,0.407,0.106,,
41,Argentina,1891,0.27,0.069,,
42,Argentina,1892,0.385,0.101,,
43,Argentina,1893,0.418,0.115,,
44,Argentina,1894,0.519,0.142,,
45,Argentina,1895,0.571,0.152,,
46,Argentina,1896,0.562,0.15,,
47,Argentina,1897,0.491,0.13,,
48,Argentina,1898,0.536,0.139,,
49,Argentina,1899,0.645,0.158,,
50,Argentina,1900,0.441,0.106,,
51,Argentina,1901,0.513,0.124,,
52,Argentina,1902,0.558,0.136,,
53,Argentina,1903,0.547,0.127,,
54,Argentina,1904,0.699,0.167,,
55,Argentina,1905,0.706,0.164,,
56,Argentina,1906,1.068,0.247,,
57,Argentina,1907,1.028,0.217,,
58,Argentina,1908,1.206,0.274,,
59,Argentina,1909,0.908,0.205,,
60,Argentina,1910,1.318,0.294,,
61,Argentina,1911,1.428,0.323,,
62,Argentina,1912,1.324,0.293,,
63,Argentina,1913,1.381,0.289,,
64,Argentina,1914,1.15,0.273,,
65,Argentina,1915,0.897,0.221,,
66,Argentina,1916,0.628,0.147,,
67,Argentina,1917,0.274,0.063,,
68,Argentina,1918,0.301,0.072,,
69,Argentina,1919,0.434,0.123,,
70,Argentina,1920,0.667,0.167,,
71,Argentina,1921,0.61,0.179,,
72,Argentina,1922,0.781,0.225,,
73,Argentina,1923,0.877,0.23,,
74,Argentina,1924,1.106,0.297,,
75,Argentina,1925,1.101,0.302,,
76,Argentina,1926,1.071,0.308,,
77,Argentina,1927,1.235,0.335,,
78,Argentina,1928,1.142,0.32,0.327,
79,Argentina,1929,1.146,0.308,0.473,
80,Argentina,1930,1.087,0.324,0.531,
81,Argentina,1931,1.07,0.365,0.858,
82,Argentina,1932,1.07,0.413,1.0,
83,Argentina,1933,1.062,0.396,1.066,
84,Argentina,1934,1.123,0.392,0.98,
85,Argentina,1935,1.085,0.367,1.11,
86,Argentina,1936,1.15,0.361,1.059,
87,Argentina,1937,1.251,0.374,1.255,
88,Argentina,1938,1.202,0.389,1.594,
