,Year,Month,Monthly,Monthly,Annual,Annual,Five-year,Five-year,Ten-year,Ten-year,Twenty-year,Twenty-year
,,,Anomaly,Uncertainty,Anomaly,Uncertainty,Anomaly,Uncertainty,Anomaly,Uncertainty,Anomaly,Uncertainty
0,1750,1,-0.934,2.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1750,2,-1.612,2.927,-1.111,0.795,0.0,0.0,0.0,0.0,0.0,0.0
2,1750,3,-0.104,2.174,-1.128,0.789,0.0,0.0,0.0,0.0,0.0,0.0
3,1750,4,-0.428,1.252,-1.155,0.793,0.0,0.0,0.0,0.0,0.0,0.0
4,1750,5,-1.802,1.17,-1.467,0.792,0.0,0.0,0.0,0.0,0.0,0.0
5,1750,6,-1.231,1.013,-1.455,0.791,0.0,0.0,0.0,0.0,0.0,0.0
6,1750,7,-0.201,1.215,-1.535,0.795,0.0,0.0,0.0,0.0,0.0,0.0
7,1750,8,0.265,1.183,-1.689,0.813,0.0,0.0,0.0,0.0,0.0,0.0
8,1750,9,-1.102,1.276,-1.704,0.832,0.0,0.0,0.0,0.0,0.0,0.0
9,1750,10,-2.405,1.531,-1.805,0.85,0.0,0.0,0.0,0.0,0.0,0.0
10,1750,11,-4.701,1.884,-1.753,0.874,0.0,0.0,0.0,0.0,0.0,0.0
11,1750,12,-3.198,2.161,-1.786,0.872,0.0,0.0,0.0,0.0,0.0,0.0
12,1751,1,-1.894,2.812,-1.692,0.897,0.0,0.0,0.0,0.0,0.0,0.0
13,1751,2,-3.457,2.848,-1.73,0.893,0.0,0.0,0.0,0.0,0.0,0.0
14,1751,3,-0.287,2.002,-1.754,0.902,0.0,0.0,0.0,0.0,0.0,0.0
15,1751,4,-1.639,1.422,-1.781,0.906,0.0,0.0,0.0,0.0,0.0,0.0
16,1751,5,-1.177,1.528,-1.655,0.913,0.0,0.0,0.0,0.0,0.0,0.0
17,1751,6,-1.618,1.002,-1.561,0.941,0.0,0.0,0.0,0.0,0.0,0.0
18,1751,7,0.923,1.607,-1.695,0.932,0.0,0.0,0.0,0.0,0.0,0.0
19,1751,8,-0.194,1.138,-1.275,0.957,0.0,0.0,0.0,0.0,0.0,0.0
20,1751,9,-1.391,1.308,-1.27,0.969,0.0,0.0,0.0,0.0,0.0,0.0
21,1751,10,-2.727,1.668,-1.286,0.97,0.0,0.0,0.0,0.0,0.0,0.0
22,1751,11,-3.185,1.929,-1.22,0.968,0.0,0.0,0.0,0.0,0.0,0.0
23,1751,12,-2.074,2.909,-1.067,0.974,0.0,0.0,0.0,0.0,0.0,0.0
24,1752,1,-3.504,2.946,-1.069,0.964,0.0,0.0,0.0,0.0,0.0,0.0
25,1752,2,1.582,3.805,-1.12,0.987,0.0,0.0,0.0,0.0,0.0,0.0
26,1752,3,-0.223,2.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1752,4,-1.828,1.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1752,5,-0.388,1.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1752,6,0.216,1.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1752,7,0.894,1.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1752,8,-0.801,1.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1752,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1752,10,-1.559,1.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1752,11,-0.213,1.941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1752,12,-1.215,2.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1753,1,-1.126,2.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1753,2,-1.887,2.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1753,3,0.33,2.213,-0.915,0.85,0.0,0.0,0.0,0.0,0.0,0.0
39,1753,4,-1.243,1.54,-0.856,0.849,0.0,0.0,0.0,0.0,0.0,0.0
40,1753,5,-0.395,1.319,-0.964,0.853,0.0,0.0,0.0,0.0,0.0,0.0
41,1753,6,-0.653,2.315,-1.214,1.108,0.0,0.0,0.0,0.0,0.0,0.0
42,1753,7,-0.293,1.759,-1.196,1.031,0.0,0.0,0.0,0.0,0.0,0.0
43,1753,8,-1.154,2.716,-1.312,1.012,0.0,0.0,0.0,0.0,0.0,0.0
44,1753,9,-1.558,2.565,-1.501,1.006,0.0,0.0,0.0,0.0,0.0,0.0
45,1753,10,-0.857,1.707,-1.167,1.357,0.0,0.0,0.0,0.0,0.0,0.0
46,1753,11,-1.504,2.11,-1.095,1.62,0.0,0.0,0.0,0.0,0.0,0.0
47,1753,12,-4.216,3.994,-1.062,1.492,0.0,0.0,0.0,0.0,0.0,0.0
48,1754,1,-0.912,3.754,-1.03,1.5,0.0,0.0,0.0,0.0,0.0,0.0
49,1754,2,-3.275,3.934,-1.059,1.535,0.0,0.0,0.0,0.0,0.0,0.0
50,1754,3,-1.945,2.159,-1.088,1.518,0.0,0.0,0.0,0.0,0.0,0.0
51,1754,4,2.768,2.142,-1.036,1.768,0.0,0.0,0.0,0.0,0.0,0.0
52,1754,5,0.469,3.977,-0.964,1.95,0.0,0.0,0.0,0.0,0.0,0.0
53,1754,6,-0.261,2.783,-0.649,1.842,0.0,0.0,0.0,0.0,0.0,0.0
54,1754,7,0.098,1.4,-0.679,2.219,0.0,0.0,0.0,0.0,0.0,0.0
55,1754,8,-1.507,2.25,-0.655,2.606,0.0,0.0,0.0,0.0,0.0,0.0
56,1754,9,-1.898,2.579,-0.69,2.427,0.0,0.0,0.0,0.0,0.0,0.0
57,1754,10,-0.238,3.715,-0.944,1.845,0.0,0.0,0.0,0.0,0.0,0.0
58,1754,11,-0.643,2.893,-0.993,1.385,0.0,0.0,0.0,0.0,0.0,0.0
59,1754,12,-0.433,2.773,-0.938,1.387,0.0,0.0,0.0,0.0,0.0,0.0
60,1755,1,-1.274,3.341,-0.886,1.312,0.0,0.0,0.0,0.0,0.0,0.0
61,1755,2,-2.99,2.939,-0.851,1.36,0.0,0.0,0.0,0.0,0.0,0.0
62,1755,3,-2.365,3.799,-0.819,1.422,-0.661,0.735,0.0,0.0,0.0,0.0
63,1755,4,-0.27,3.862,-0.665,1.313,-0.701,0.74,0.0,0.0,0.0,0.0
64,1755,5,-0.12,3.823,-0.735,1.313,-0.737,0.74,0.0,0.0,0.0,0.0
65,1755,6,0.394,3.08,-0.89,1.033,-0.77,0.848,0.0,0.0,0.0,0.0
66,1755,7,0.719,1.963,-0.764,0.961,-0.833,0.849,0.0,0.0,0.0,0.0
67,1755,8,-1.085,1.572,-0.347,1.325,-0.861,0.886,0.0,0.0,0.0,0.0
68,1755,9,-1.51,1.896,-0.251,1.612,-0.904,0.888,0.0,0.0,0.0,0.0
69,1755,10,1.607,3.14,-0.171,1.406,-0.912,0.888,0.0,0.0,0.0,0.0
70,1755,11,-1.486,2.625,-0.106,1.381,-0.953,0.891,0.0,0.0,0.0,0.0
71,1755,12,-2.295,4.718,-0.14,1.279,-0.963,0.893,0.0,0.0,0.0,0.0
72,1756,1,0.242,3.316,-0.216,1.35,-0.981,0.902,0.0,0.0,0.0,0.0
73,1756,2,2.021,3.941,-0.222,1.534,-1.013,0.894,0.0,0.0,0.0,0.0
74,1756,3,-1.216,3.282,-0.17,1.47,-1.03,0.897,0.0,0.0,0.0,0.0
75,1756,4,0.691,2.179,-0.431,1.59,-1.075,0.891,0.0,0.0,0.0,0.0
76,1756,5,0.658,3.257,-0.515,1.572,-1.069,0.899,0.0,0.0,0.0,0.0
77,1756,6,-0.018,1.908,-0.591,1.633,-1.033,0.89,0.0,0.0,0.0,0.0
78,1756,7,-0.193,2.07,-0.862,1.475,-1.002,0.905,0.0,0.0,0.0,0.0
79,1756,8,-1.152,4.826,-0.993,1.367,-0.938,0.898,0.0,0.0,0.0,0.0
80,1756,9,-0.881,2.173,-1.011,1.258,-0.928,0.896,0.0,0.0,0.0,0.0
81,1756,10,-1.532,1.514,-1.101,1.158,-1.016,0.902,0.0,0.0,0.0,0.0
82,1756,11,-2.486,2.537,-1.135,1.063,-1.064,0.922,0.0,0.0,0.0,0.0
83,1756,12,-3.207,2.551,-0.967,1.111,-1.068,0.909,0.0,0.0,0.0,0.0
84,1757,1,-3.019,5.485,-0.786,1.163,-1.11,0.924,0.0,0.0,0.0,0.0
85,1757,2,0.449,2.98,-0.491,1.222,-1.09,0.916,0.0,0.0,0.0,0.0
86,1757,3,-1.423,4.354,-0.314,1.3,-1.077,0.922,0.0,0.0,0.0,0.0
87,1757,4,-0.392,1.29,-0.519,1.391,-1.11,0.939,0.0,0.0,0.0,0.0
88,1757,5,0.246,1.804,-0.507,1.384,-1.15,0.953,0.0,0.0,0.0,0.0
89,1757,6,1.993,2.722,-0.504,1.193,-1.23,0.981,0.0,0.0,0.0,0.0
90,1757,7,1.982,2.872,-0.663,1.255,-1.289,1.057,0.0,0.0,0.0,0.0
91,1757,8,2.393,4.206,-0.998,1.298,-1.256,1.091,0.0,0.0,0.0,0.0
92,1757,9,1.244,3.305,-1.066,1.3,-1.281,1.076,-1.241,0.617,0.0,0.0
93,1757,10,-3.99,2.003,-1.18,1.338,-1.314,1.036,-1.255,0.621,0.0,0.0
94,1757,11,-2.352,2.459,-1.438,1.356,-1.344,1.016,-1.255,0.623,0.0,0.0
95,1757,12,-3.163,3.869,-1.709,1.274,-1.387,1.015,-1.262,0.848,0.0,0.0
96,1758,1,-4.933,2.871,-1.988,1.26,-1.442,1.089,-1.279,0.854,0.0,0.0
97,1758,2,-3.565,6.033,-2.439,1.192,-1.452,1.098,-1.289,0.861,0.0,0.0
98,1758,3,-2.238,3.753,-2.762,1.207,-1.467,1.107,-1.328,0.877,0.0,0.0
