,year,methane,nitrous_oxide,co2
45986,2001,7062.72,2512.18,25668.049
45987,2002,7199.6,2570.02,26281.037
45988,2003,7262.51,2604.75,27651.596
45989,2004,7505.18,2687.85,28636.695
45990,2005,7556.28,2701.33,29614.602
45991,2006,7749.95,2733.12,30593.117
45992,2007,7729.96,2802.95,31506.789
45993,2008,7782.22,2775.36,32085.836
45994,2009,7812.91,2769.55,31564.031
45995,2010,7909.88,2845.37,33364.348
45996,2011,8050.43,2914.6,34487.012
45997,2012,8141.11,2937.79,35006.27
45998,2013,8109.3,2918.25,35319.203
45999,2014,8266.81,2963.01,35577.535
46000,2015,8315.91,2995.51,35558.566
46001,2016,8227.18,3027.26,35524.191
46002,2017,8333.4,3087.4,36096.738
46003,2018,8489.97,3072.53,36826.508
46004,2019,8609.92,3096.79,37082.559
46005,2020,,,35264.086
46006,2021,,,37123.852
